Company Name,Current Rater,Instrument Type,Rating,Rating Date,Urgency,INC Status,Rating Status,Hot Score,Why Target,ACER Pitch,Source,Heat Category
Sai Point Finance Corporation Limited,Infomerics,Long Term Fund Based Limits - Cash Credit,IVR BB (INC)(Withdrawn),2021-11-25,HIGH,INC,Nil,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
RBA Finance Private Limited,Infomerics,Proposed Long Term Fund Based Limit - Cash Credit,"IVR BB+ (Upgraded, removed from INC category and simultaneously Withdrawn)",2024-03-07,HIGH,INC,Stable,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
IFL Housing Finance Limited,Infomerics,Long-Term Bank Facilities,IVR BB (INC) (Downgraded),2024-12-09,HIGH,INC,Negative,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
ICL Fincorp Limited,Infomerics,Non-Convertible Debentures,IVR BB (INC) (Reaffirmed),2025-03-21,HIGH,INC,Negative,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
Adhikar Microfinance Private Limited,Infomerics,Long Term Bank Facilities- Term Loan,IVR D (INC)(Reaffirmed),2025-04-01,HIGH,INC,Nil,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
Glowmore Finance Private Limited,Infomerics,Proposed Long-term Bank Facilities,IVR B- (INC)(Downgraded),2025-04-30,HIGH,INC,Negative,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
B W D A Finance Ltd.,ACUITE,Long term Loans,BB,2025-05-08,HIGH,INC,Downgraded,100,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,ULTRA HOT — Overdue + INC
Genesis Finance Co. Ltd.,BRICKWORK,Term loans,B,2025-05-12,HIGH,INC,Downgraded,100,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,ULTRA HOT — Overdue + INC
Subhlakshmi Finance Private Limited,Infomerics,Long Term Facilities,IVR BB+ (INC)(Downgraded),2025-05-21,HIGH,INC,Negative,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
Navachetana Microfinance Services Private Limited,Infomerics,Proposed - Long Term Bank Facilities,IVR D (INC)(Downgraded),2025-06-04,HIGH,INC,Nil,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
