Company Name,All Instruments,Latest Instrument,Current Rater(s),Latest Rater,Rater Count,Rating,Rating Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Why Target,ACER Pitch Angle
Puran Chand Rice Mills Pvt. Ltd.,Non-fund-based financial facility/instrument,Non-fund-based financial facility/instrument,CRISIL | Infomerics,CRISIL,2,A 3+,Upgraded,2025-06-05,HIGH,6,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Universal Infra & Agri Oils Pvt. Ltd.,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument,CARE | Infomerics,CARE,2,B+,Downgraded,2025-06-13,HIGH,6,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Baba Naga Agro Pvt. Ltd.,Letter Of credit | Term loans,Letter Of credit,BRICKWORK,BRICKWORK,1,A 4,Reaffirmed,2025-05-16,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Camson Agri-Ventures Pvt. Ltd.,Bank Guarantee,Bank Guarantee,CARE,CARE,1,D,Reaffirmed,2025-05-26,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Chennai Rice Inds. India Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee,BRICKWORK,BRICKWORK,1,A 4,Reaffirmed,2025-05-27,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Dhanashree Agro Products Pvt. Ltd.,Bank Guarantee | Letter Of credit | Long term Loans,Bank Guarantee,CRISIL,CRISIL,1,D,Reaffirmed,2025-05-19,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Divya Agro Roller Flour Mills Pvt. Ltd.,Term loans,Term loans,CARE,CARE,1,D,Reaffirmed,2025-06-09,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
G H O Agro Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee,BRICKWORK,BRICKWORK,1,D,Reaffirmed,2025-05-13,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
G M Sugar & Energy Ltd.,Non-government debt | Term loans,Non-government debt,ICRA,ICRA,1,B+/A4,Reaffirmed,2025-05-28,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Gonglu Agro Pvt. Ltd.,Non-fund-based financial facility/instrument | Non-government debt | Term loans,Non-fund-based financial facility/instrument,ICRA,ICRA,1,D,Reaffirmed,2025-05-14,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
