Company,Current_Rater,Instrument_Type,Rating,Date,Urgency,Sector,INC_Status,Status,Why_Target,ACER_Pitch,Source
Grameen Shakti Microfinance Services Pvt. Ltd.,ACUITE,Term loans,BB-,2026-09-04,LOW,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Jalnidhi Bitumen Specialities Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,B+,2026-06-04,LOW,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Shree Naman Securities & Finance Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,C,2026-03-04,LOW,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Aviom India Housing Finance Pvt. Ltd.,ACUITE,Long term Loans,D,2026-03-02,LOW,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Baba PuranDass Financial Services Limited,Infomerics,Proposed Fixed Deposit,IVR C- (INC) (Reaffirmed),2026-02-10,LOW,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Trucap Finance Ltd.,CARE,Fund based financial facility/instrument,D,2026-02-04,LOW,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Hindusthan Microfinance Pvt. Ltd.,BRICKWORK,Term loans,C,2026-02-01,LOW,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
IQRA Microfinance Federation,Infomerics,Long Term Bank Facilities - Proposed Term Loan,IVR C+ (INC)(Downgraded),2026-01-23,LOW,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Dhansamridhi Finance Private Limited,Infomerics,Proposed Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2026-01-12,LOW,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Arth Micro Finance Pvt. Ltd.,ACUITE,Term loans,D,2026-01-04,LOW,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Nidhi Auto Pvt. Ltd.,CARE,Non-government debt,B-/A4,2025-11-12,MEDIUM,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Shree Biradev Finance Private Limited,Infomerics,Fund based - Long Term Bank Facilities - CC/OD,IVR BB+(INC) (Downgraded),2025-10-27,MEDIUM,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Glowmore Finance Pvt. Ltd.,IND-RA,Term loans,B+,2025-10-11,MEDIUM,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Inditrade Fincorp Ltd.,ACUITE,Term loans,D,2025-10-10,MEDIUM,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Shri Banke Bihari Cotfab Pvt. Ltd.,CRISIL,Long term Loans,B+,2025-10-10,MEDIUM,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Sustainable Agro-Commercial Finance Limited,Infomerics,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-10-09,MEDIUM,BFSI,INC,Nil,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Ashv Finance Ltd.,ACUITE,Term loans,B,2025-10-06,MEDIUM,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Finvent Finance & Invts. Ltd.,CRISIL,Long term Loans,B-,2025-10-06,MEDIUM,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
SKG Asset Management Private Limited,Infomerics,Long Term Bank Facilities,IVR B- (INC)(Downgraded),2025-09-30,MEDIUM,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Inditrade Microfinance Limited,Infomerics,Non-Convertible Debentures,IVR D (INC)(Reaffirmed),2025-09-23,MEDIUM,BFSI,INC,Nil,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Green Malabar Finance Ventures Limited,Infomerics,Proposed Long Term Fund Based Limits - WCDL,IVR BB (INC)(Downgraded),2025-08-13,MEDIUM,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Akhshayaa Finance Bhaarath Ltd.,BRICKWORK,Term loans,D,2025-08-10,MEDIUM,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Growing Opportunity Finance India Private Limited,Infomerics,Proposed Long Term Fund Based Facilities,IVR B+ (INC)(Downgraded),2025-08-08,MEDIUM,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Jaika Automobiles & Finance Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),2025-07-29,MEDIUM,BFSI,INC,Nil,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Infrastructure Leasing & Financial Services Ltd.,ICRA,Debentures / Bonds / notes / bills,D,2025-07-11,MEDIUM,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Janakalyan Financial Services Pvt. Ltd.,CARE,Term loans,B+,2025-07-08,MEDIUM,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Reliance Commercial Finance Ltd.,BRICKWORK,Debentures / Bonds / notes / bills,PP-MLD D,2025-06-11,HIGH,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Sustainable Agro-Commercial Finance Ltd.,CARE,Long term Loans,D,2025-06-08,HIGH,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Navachetana Microfinance Services Private Limited,Infomerics,Proposed - Long Term Bank Facilities,IVR D (INC)(Downgraded),2025-06-04,HIGH,BFSI,INC,Nil,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Subhlakshmi Finance Private Limited,Infomerics,Long Term Facilities,IVR BB+ (INC)(Downgraded),2025-05-21,HIGH,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Genesis Finance Co. Ltd.,BRICKWORK,Term loans,B,2025-05-12,HIGH,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
B W D A Finance Ltd.,ACUITE,Long term Loans,BB,2025-05-08,HIGH,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Glowmore Finance Private Limited,Infomerics,Proposed Long-term Bank Facilities,IVR B- (INC)(Downgraded),2025-04-30,HIGH,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
