Company Name,All Raters,Rater Count,Latest Rater,All Instruments,Latest Instrument,Latest Rating,Latest Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle
Ireo Hospitality Co. Pvt. Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument,D,Reaffirmed,2025-05-14,HIGH,5,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: pitch ACER as rescue rater; your current agency abandoned you, we won't"
Adwalpalkar Construction and Resort Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),,2025-04-15,HIGH,5,YES,Hotels/Tourism,Infomerics,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: pitch ACER as rescue rater; your current agency abandoned you, we won't"
Hotel Tara Palace,Infomerics,1,Infomerics,Long Term Bank Facilities,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),,2025-03-31,HIGH,5,YES,Hotels/Tourism,Infomerics,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: pitch ACER as rescue rater; your current agency abandoned you, we won't"
Luxus Hospitality Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,BB-,Reaffirmed,2025-05-07,HIGH,3,NO,Hotels/Tourism,D365,Rating overdue (>12 months),Overdue rating — pitch quick turnaround; faster annual review than CRISIL/ICRA at lower cost
Travel News Services (India) Pvt. Ltd.,ACUITE,1,ACUITE,Bank Guarantee,Bank Guarantee,BB-,Withdrawn,2025-05-19,HIGH,3,NO,Hotels/Tourism,D365,Rating overdue (>12 months),Overdue rating — pitch quick turnaround; faster annual review than CRISIL/ICRA at lower cost
ATHOME HOSPITALITY SERVICES PRIVATE LIMITED (AHSPL),Infomerics,1,Infomerics,Long Term Facilities,Long Term Facilities,IVR BBB- (Assigned),,2025-03-12,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround; faster annual review than CRISIL/ICRA at lower cost
Ambience Hotel & Resorts Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities,Long Term Bank Facilities,IVR BBB (Upgraded),,2025-01-30,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround; faster annual review than CRISIL/ICRA at lower cost
Jubliant Hospitality Services Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,Long Term Bank Facilities,IVR BBB+ (Assigned),,2025-03-27,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround; faster annual review than CRISIL/ICRA at lower cost
Onepoint Grand Hospitality Private Limited,Infomerics,1,Infomerics,Long Term Facilities,Long Term Facilities,IVR BB+ (Assigned),,2025-01-02,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround; faster annual review than CRISIL/ICRA at lower cost
Wave Hospitality Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,Long Term Bank Facilities,IVR BBB (Upgraded),,2025-06-02,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround; faster annual review than CRISIL/ICRA at lower cost
Chandrakala Resort Hotels Pvt. Ltd.,BRICKWORK | Infomerics,2,BRICKWORK,Term loans,Term loans,B-,Withdrawn,2025-08-20,MEDIUM,5,YES,Hotels/Tourism,Both,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Kafila Hospitality & Travels Pvt. Ltd.,CRISIL | IND-RA,2,IND-RA,Fund based financial facility/instrument | Term loans,Term loans,B-,Reaffirmed,2025-11-24,MEDIUM,5,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
