Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Quarter,Escalation_Month,Escalation_Date,HOT_Date,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle,Call_Window,Also_In_Other_Quarter
Invreco Pvt. Ltd.,CARE,NCD/Bond,BBB+/A2,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,250.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
N S C Projects Pvt. Ld.,CRISIL,Bank Guarantee,A 2,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,218.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
India Mega Agro Anaj Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,195.9,Agro/Food,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
S V P Industries Ltd.,BRICKWORK,Fund-Based,BB-,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,183.91,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Dhoot Infrastructure Projects Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,110.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Mohite Industries Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC) (Downgraded),2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,86.15,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Narayani Coke Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,79.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Kapeeshwar Sugars & Chemicals Ltd.,IND-RA,Term Loan,BB,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,74.5,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Viswaat Chemicals Ltd.,CARE,Term Loan,BB,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,61.46,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Viswaat Chemicals Ltd.,CARE,NCD/Bond,BB/A4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,44.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
