Company,Current_Rater,Instrument_Type,Rating,Date,Urgency,Sector,INC_Status,Status,Why_Target,ACER_Pitch,Source
Sheenlac Paints Ltd.,BRICKWORK,Bank Guarantee,A 4,2026-12-03,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Southfield Paints Ltd.,BRICKWORK,Term loans,C,2026-12-03,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Shri Prabhulingeshwar Sugars & Chemicals Ltd.,ACUITE,Term loans,BB+,2026-12-03,LOW,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Sun Petrochemicals Pvt. Ltd.,ACUITE,Bank Guarantee,A 1+,2026-12-02,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
P C B L Chemical Ltd.,ICRA,Term loans,AA,2026-12-02,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Calibre Chemicals Pvt. Ltd.,CRISIL,Term loans,A,2026-12-02,LOW,Chemicals,Active,Downgraded,Recently downgraded — evaluate switching.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Knovea Pharmaceutical Pvt. Ltd.,CARE,Non-government debt,A-/A2+,2026-12-01,LOW,Pharma/Biotech,Active,Upgraded,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Thirumalai Chemicals Ltd.,ICRA,Term loans,BBB+,2026-12-01,LOW,Chemicals,Active,Downgraded,Recently downgraded — evaluate switching.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Symbiotec Pharmalab Ltd.,CARE,Non-government debt,A+/A1,2026-12-01,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Besto Tradelink Ltd.,CRISIL,Non-fund-based financial facility/instrument,D,2026-12-01,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Vivin Drugs & Pharmaceuticals Ltd.,CRISIL,Letter Of credit,D,2026-12-01,LOW,Pharma/Biotech,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Nahar Colours & Coating Pvt. Ltd.,CARE,Non-government debt,A-/A2+,2026-12-01,LOW,Chemicals,Active,Initial Rating,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Aaiswarya Dyeing Mills Pvt. Ltd.,CRISIL,Term loans,B+,2026-12-01,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Midas Petrochem Pvt. Ltd.,IND-RA,Term loans,D,2026-12-01,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Machino Plastics Ltd.,ICRA,Term loans,BB+,2026-11-03,LOW,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Air Trax Polymers Pvt. Ltd.,CRISIL,Term loans,B,2026-11-03,LOW,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Care Detergents Pvt. Ltd.,CRISIL,Long term Loans,BBB,2026-11-03,LOW,Chemicals,Active,Initial Rating,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Demosha Chemicals Pvt. Ltd.,CRISIL,Bank Guarantee,A 2,2026-11-02,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Vannsh Life Sciences Pvt. Ltd.,CRISIL,Term loans,BB+,2026-11-02,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Fibro Plastichem (India) Pvt. Ltd.,CRISIL,Term loans,B,2026-10-04,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Integrated Thermoplastics Ltd.,CARE,Term loans,D,2026-10-04,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Vasudha Pharma Chem Ltd.,IND-RA,Non-fund based working capital limit,A 1+,2026-10-04,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Akums Drugs & Pharmaceuticals Ltd.,ICRA,Non-government debt,AA/A1+,2026-10-04,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Saraswati Agro Chemicals (India) Pvt. Ltd.,CARE,Bank Guarantee,A 2+,2026-10-04,LOW,Chemicals,Active,Initial Rating,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Ronch Polymers Pvt. Ltd.,CARE,Bank Guarantee,A 2,2026-10-04,LOW,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Paramount Minerals & Chemicals Ltd.,CRISIL,Letter Of credit,D,2026-10-04,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
R M Drip & Sprinklers Systems Ltd.,BRICKWORK,Bank Guarantee,A 4,2026-10-04,LOW,Chemicals,INC,Withdrawn,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
S S G Pharma Pvt. Ltd.,ACUITE,Term loans,B-,2026-10-04,LOW,Pharma/Biotech,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Oracle Polymer Inds. Pvt. Ltd.,CARE,Bank Guarantee,A 4,2026-10-04,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
N G Fertilizers & Chemicals Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,BB-,2026-10-04,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Maxheal Pharmaceuticals (India) Ltd.,CARE,Bank Guarantee,A 4,2026-10-03,LOW,Pharma/Biotech,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Machino Plastics Ltd.,CRISIL,Fund based financial facility/instrument,B,2026-10-03,LOW,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Hema Dyeing & Printing Mills Pvt. Ltd.,CARE,Bank Guarantee,A 4,2026-10-03,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Chamunda Plastic Pvt. Ltd.,CARE,Bank Guarantee,A 4,2026-10-03,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Polyplastics Industries (India) Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 2+,2026-10-02,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Polyplastics Decorative Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 2+,2026-10-02,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
H P M Chemicals & Fertilizers Ltd.,CRISIL,Letter Of credit,BB+,2026-10-02,LOW,Chemicals,Active,Downgraded,Recently downgraded — evaluate switching.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Enzal Chemicals (India) Ltd.,CRISIL,Long term Loans,B+,2026-10-02,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Prima Plastics Ltd.,CRISIL,Term loans,BBB+,2026-10-02,LOW,Chemicals,Active,Rating Watch,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Polyplastics Auto Components Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 2+,2026-10-02,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
S G D Pharma India Pvt. Ltd.,CARE,Bank Guarantee,A 2+,2026-10-02,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Gowthami Solvent Oils Pvt. Ltd.,CARE,Term loans,BB,2026-09-04,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Goverdhan Energy & Petrochemicals Pvt. Ltd.,CARE,Non-government debt,BB+/A4+,2026-09-04,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Q-Line Biotech Ltd.,CRISIL,Term loans,B,2026-09-04,LOW,Pharma/Biotech,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Shri Ganpati Fertilizers Ltd.,CRISIL,Long term Loans,A,2026-09-04,LOW,Chemicals,Active,Rating Watch,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Miku Polymers & Plastics Ltd.,BRICKWORK,Bank Guarantee,D,2026-09-03,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Sagar Life Sciences Pvt. Ltd.,BRICKWORK,Term loans,BB+,2026-09-03,LOW,Pharma/Biotech,Active,Initial Rating,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Bhagiradha Chemicals & Inds. Ltd.,IND-RA,Non-fund based working capital limit,A 2+,2026-09-03,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
D R T-Anthea Aroma Chemicals Pvt. Ltd.,IND-RA,Non-government debt,A-/A1,2026-09-03,LOW,Chemicals,Active,Initial Rating,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Pinnacle Life Science Pvt. Ltd.,CRISIL,Long term Loans,A+,2026-09-02,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Unimax Chemicals Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-09-02,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Janki Rice & Solvent Inds. Pvt. Ltd.,CARE,Term loans,BB,2026-09-02,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
