Company,Current_Rater,Instrument_Type,Rating,Date,Urgency,Sector,INC_Status,Status,Why_Target,ACER_Pitch,Source
Reliance Commercial Finance Ltd.,BRICKWORK,Debentures / Bonds / notes / bills,PP-MLD D,2025-06-11,HIGH,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
I T I Gold Loans Ltd.,CRISIL,Long term Loans,A-,2025-06-11,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
I T I Finance Ltd.,CRISIL,Long term Loans,A-,2025-06-11,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Fasttrack Housing Finance Ltd.,CRISIL,Long term Loans,BBB+,2025-06-11,HIGH,BFSI,Active,Upgraded,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
L I C Housing Finance Ltd.,CRISIL,Short-term loan,A 1+,2025-06-10,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Union Bank Of India,ICRA,Debentures / Bonds / notes / bills,AAA,2025-06-10,HIGH,BFSI,Active,Withdrawn,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Sustainable Agro-Commercial Finance Ltd.,CARE,Long term Loans,D,2025-06-08,HIGH,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Religare Housing Devp. Finance Corpn. Ltd.,CARE,Term loans,BBB-,2025-06-08,HIGH,BFSI,Active,Upgraded,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Mufin Green Finance Ltd.,ACUITE,Long term Loans,A-,2025-06-06,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Manibhavnam Home Finance India Pvt. Ltd.,ICRA,Term loans,BBB-,2025-06-06,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Navachetana Microfinance Services Private Limited,Infomerics,Proposed - Long Term Bank Facilities,IVR D (INC)(Downgraded),2025-06-04,HIGH,BFSI,INC,Nil,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
