Company Name,Agencies_INC_April2026,Agency_Count,April_2026_Instruments,April_2026_Amount_Cr,Total_Rated_Amount_Cr,Days_Since_INC,Urgency,Prior_Ratings,Total_Records_In_D365,All_INC_Records,Non_INC_Records,Has_NCD,Has_BG,Has_Term_Loan,Why_Target,ACER_Pitch,July_2026_Urgency_Note
K B K Biotech Pvt. Ltd.,CARE | ICRA,2,Non-government debt | Term loans | Bank Guarantee,277.0,277.0,55,LOW (but July 2026 funding trigger),{},5,5,0,YES,YES,YES,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at CARE and ICRA since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
New Modern Technomech Pvt. Ltd.,ACUITE | CARE,2,Bank Guarantee | Letter Of credit | Non-government debt | Term loans,103.83,271.83,63,LOW (but July 2026 funding trigger),{},13,13,0,YES,YES,YES,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at ACUITE and CARE since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
Veda Biofuel Ltd.,BRICKWORK | IND-RA,2,Term loans,154.37,154.37,76,LOW (but July 2026 funding trigger),{},2,2,0,NO,NO,YES,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at IND-RA and BRICKWORK since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
Nimbus Motors Pvt. Ltd.,CARE | CRISIL,2,Fund based financial facility/instrument | Term loans,64.5,90.5,61,LOW (but July 2026 funding trigger),{},5,5,0,NO,NO,YES,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at CRISIL and CARE since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
Apurvakriti Infrastructure Pvt. Ltd.,ACUITE | CARE,2,Bank Guarantee,40.0,86.07,75,LOW (but July 2026 funding trigger),{'A 3': 1},9,8,1,NO,YES,NO,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at ACUITE and CARE since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
Natraj Electro Casting Pvt. Ltd.,CARE | CRISIL,2,Bank Guarantee | Non-government debt | Term loans,39.47,69.0,60,LOW (but July 2026 funding trigger),{},6,6,0,YES,YES,YES,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at CARE and CRISIL since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
Suyash Chemical & Fertilizer Pvt. Ltd.,BRICKWORK | CARE,2,Bank Guarantee | Fund based financial facility/instrument | Term loans,27.21,66.02,68,LOW (but July 2026 funding trigger),"{'A 4+': 1, 'BB+': 1}",7,5,2,NO,YES,YES,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at BRICKWORK and CARE since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
Rohan Dyes & Intermediates Ltd.,ACUITE | BRICKWORK,2,Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument | Short-term loan | Term loans,40.5,40.5,60,LOW (but July 2026 funding trigger),{},6,6,0,NO,YES,YES,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at BRICKWORK and ACUITE since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
R A C Papers Ltd.,BRICKWORK | CARE,2,Term loans | Letter Of credit,9.63,35.63,62,LOW (but July 2026 funding trigger),{},7,7,0,NO,NO,YES,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at BRICKWORK and CARE since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
S M Interior Pvt. Ltd.,CARE | CRISIL,2,Bank Guarantee | Term loans | Fund based financial facility/instrument,35.0,35.0,55,LOW (but July 2026 funding trigger),{},4,4,0,NO,YES,YES,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at CARE and CRISIL since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
Mittapally Agro Products Pvt. Ltd.,CARE | CRISIL,2,Non-government debt | Bank Guarantee,33.0,33.0,60,LOW (but July 2026 funding trigger),{},2,2,0,YES,YES,NO,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at CARE and CRISIL since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
Su-Solartech Systems Pvt. Ltd.,ACUITE | CRISIL,2,Bank Guarantee | Letter Of credit | Long term Loans | Short-term loan | Fund based financial facility/instrument,23.5,28.0,54,LOW (but July 2026 funding trigger),{},8,8,0,NO,YES,YES,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at ACUITE and CRISIL since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
S S G Pharma Pvt. Ltd.,ACUITE | CRISIL,2,Term loans | Long term Loans,17.4,17.4,54,LOW (but July 2026 funding trigger),{},2,2,0,NO,NO,YES,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at ACUITE and CRISIL since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
Arya Steels Rolling (India) Pvt. Ltd.,CARE | CRISIL,2,Bank Guarantee | Letter Of credit,8.0,14.0,63,LOW (but July 2026 funding trigger),{},4,4,0,NO,YES,NO,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at CARE and CRISIL since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
Sree Mangayarkarasi Mills Pvt. Ltd.,BRICKWORK | CARE,2,Bank Guarantee | Letter Of credit | Term loans,12.8,12.8,71,LOW (but July 2026 funding trigger),{},5,5,0,NO,YES,YES,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at BRICKWORK and CARE since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
Krisha Distribution Pvt. Ltd.,BRICKWORK | CRISIL,2,Bank Guarantee,11.5,11.5,67,LOW (but July 2026 funding trigger),{},2,2,0,NO,YES,NO,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at BRICKWORK and CRISIL since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
Vardhman Rice Exports Pvt. Ltd.,ACUITE | CRISIL,2,Term loans | Fund based financial facility/instrument,9.5,9.5,54,LOW (but July 2026 funding trigger),{},3,3,0,NO,NO,YES,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at ACUITE and CRISIL since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
Balaji Agro Pvt. Ltd.,ACUITE | CRISIL,2,Letter Of credit | Long term Loans | Short-term loan,6.2,6.2,63,LOW (but July 2026 funding trigger),{},5,5,0,NO,NO,YES,INC at 2 agencies simultaneously in April 2026 — no working credit rating anywhere,"Your credit is INC at ACUITE and CRISIL since April 2026. You are 83 days in — funding facilities will freeze. ACER can issue a fresh, active rating in 15 days. Call us before July 18.","90-day mark = funding trigger — priority call before July 18, 2026"
