Company_Name,Instrument_Type,Current_Rater,Rating,Rating_Date,Urgency,Is_INC,Tier,Sector,State,Why_Target,ACER_Pitch_Angle,Source
A B Pal Electricals Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (Assigned),"January 29, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Aarti Sponge and Power Limited,Short Term Bank Facilities,Infomerics,IVR A2 (Upgraded)(Withdrawn),"April 5, 2024",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Aavanti Renewable Energy Private Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"October 9, 2024",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Aavanti Solar Energy Private Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"October 9, 2024",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Adsun Electronics Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (Assigned),"February 28, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Ambitious Power Trading Company Limited,Long Term Bank Facility,Infomerics,IVR BBB- (Assigned),"May 21, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Animesh Steel and Power Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB (Assigned),"February 28, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Anvil Electricals Private Limited,Short Term Bank Facilities,Infomerics,IVR A3 (Reaffirmed and Withdrawn),"May 15, 2023",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Aurinko Energy Private Limited (AEPL),Long Term Bank Facility,Infomerics,IVR BBB (Reaffirmed),"March 27, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Bajaj Energy Limited,Short Term Bank Facilities,Infomerics,IVR A1+ (Upgraded),"February 4, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
