Company Name,Instrument Type,Current Rating Agency,Rating,Rating Date,Urgency,INC,Sector,State,Why Target,ACER Pitch Angle,Source
Arete Institute of Medical Sciences Private Limited,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2025-04-04,HIGH,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Overdue 436d — overdue for renewal",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Bharat Heart & Super Speciality Hospitals,Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-05-23,HIGH,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Overdue 387d — overdue for renewal",ACER can step in as new rater with quick onboarding. Healthcare facilities rely on WC limits; Infomerics INC = frozen credit.,Infomerics
Cyrix Healthcare Private Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-05-16,HIGH,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Overdue 394d — overdue for renewal",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Nayati Healthcare & Research NCR Private Limited (Formerly known as OSL Healthcare Private Limited),Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-02-20,HIGH,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Overdue 479d — overdue for renewal",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Nayati Healthcare & Research Private Limited,Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-02-19,HIGH,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Overdue 480d — overdue for renewal",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Nayati Medical Private Limited (Formerly known as Nayati Pharma Private Limited),Long Term Bank Facilities,Infomerics,IVR C- (INC)(Downgraded),2025-02-17,HIGH,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Overdue 482d — overdue for renewal",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
P.K. Pharmatech Private Limited,Long Term Bank Facility- Cash Credit,Infomerics,IVR B+(INC) (Downgraded),2025-01-01,HIGH,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Overdue 529d — overdue for renewal",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
RMC Medical Services Private Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-02-17,HIGH,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Overdue 482d — overdue for renewal",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Uni Medicolabs,Long Term Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-03-25,HIGH,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Overdue 446d — overdue for renewal",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
United Ciigma Institute of Medical Sciences Private Limited,Long Term Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-02-21,HIGH,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Overdue 478d — overdue for renewal",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
