Company Name,All Raters,Rater Count,Latest Rater,All Instruments,Latest Instrument,Latest Rating,Latest Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle
Continental Corrugators Pvt. Ltd.,CARE,1,CARE,Term loans,Term loans,B,Downgraded,2025-06-09,HIGH,5,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Devrishi Papers Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Term loans,Term loans,C,Reaffirmed,2025-05-06,HIGH,5,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Sangal Papers Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-06-10,HIGH,5,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Shree Nageshwar Papers Ltd.,BRICKWORK,1,BRICKWORK,Term loans,Term loans,C,Reaffirmed,2025-06-11,HIGH,5,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Suyash Kraft & Papers Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-06-10,HIGH,5,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Jagdhatri Papers Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans | Term loans,Long term Loans,BB+,Downgraded,2025-05-28,HIGH,3,NO,Paper/Packaging,D365,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. CRISIL
Naini Papers Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument | Long term Loans,Fund based financial facility/instrument,A-,Reaffirmed,2025-05-06,HIGH,3,NO,Paper/Packaging,D365,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. CRISIL
Chadha Papers Ltd.,CRISIL | Infomerics,2,CRISIL,Letter Of credit,Letter Of credit,A 4+,Reaffirmed,2025-11-11,MEDIUM,5,YES,Paper/Packaging,Both,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Maruti Papers Pvt. Ltd.,BRICKWORK | CRISIL,2,BRICKWORK,Fund based financial facility/instrument | Long term Loans | Non-fund-based financial facility/instrument,Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-11-12,MEDIUM,5,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Nikita Papers Ltd.,CRISIL | Infomerics,2,CRISIL,Fund based financial facility/instrument | Letter Of credit | Term loans,Letter Of credit,A 4+,Withdrawn,2025-11-24,MEDIUM,5,YES,Paper/Packaging,Both,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Ruchira Papers Ltd.,CARE | CRISIL,2,CRISIL,Letter Of credit | Non-government debt | Term loans,Term loans,B,Reaffirmed,2025-11-27,MEDIUM,5,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Shri Hari Krishna Papers Pvt. Ltd.,ACUITE | CRISIL,2,ACUITE,Letter Of credit | Long term Loans | Term loans,Letter Of credit,A 4+,Reaffirmed,2025-09-04,MEDIUM,5,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Silvertoan Papers Ltd.,BRICKWORK | CARE | CRISIL,3,CARE,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,A 4,Downgraded,2025-11-21,MEDIUM,5,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Starwork Papers Pvt. Ltd.,BRICKWORK | CRISIL,2,BRICKWORK,Letter Of credit | Term loans,Letter Of credit,A 4,Reaffirmed,2025-09-15,MEDIUM,5,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Subam Papers Ltd.,CRISIL | ICRA,2,CRISIL,Long term Loans | Term loans,Long term Loans,B,Reaffirmed,2025-07-31,MEDIUM,5,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Aaj Ka Anand Papers Ltd.,CRISIL,1,CRISIL,Letter Of credit | Term loans,Letter Of credit,D,Reaffirmed,2025-10-20,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Aristocraft Papers Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit | Term loans,Letter Of credit,A 4,Withdrawn,2025-11-24,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Atharva Corrugations Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2025-10-07,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Binjusaria Papers Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit | Long term Loans,Letter Of credit,A 4,Reaffirmed,2025-07-16,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
D L S Papers Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit | Term loans,Letter Of credit,A 4,Withdrawn,2025-06-20,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Galaxy Papers Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,B,Reaffirmed,2025-09-15,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Lami Fab & Papers Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee,D,Reaffirmed,2025-08-22,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Madhya Bharat Papers Ltd.,CRISIL,1,CRISIL,Letter Of credit | Long term Loans | Term loans,Letter Of credit,A 4,Reaffirmed,2025-06-19,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
N P T Papers Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit,Letter Of credit,A 4+,Downgraded,2025-07-15,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Om Corrugated Pack Pvt. Ltd.,ICRA,1,ICRA,Non-government debt | Term loans,Non-government debt,B+/A4,Reaffirmed,2025-09-19,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
