Company Name,BFSI_Sub,Latest Rater,Latest Instrument,Latest Rating,Rating Date,Urgency,Priority Score,INC Flag,All Raters,Rater Count,Why Target,ACER_Pitch_NBFC
Capital Power Systems Ltd.,NBFC,ACUITE,Bank Guarantee,A 2,2025-05-06,HIGH,6,YES,ACUITE | Infomerics,2,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Ashv Finance Ltd.,NBFC,ACUITE,Long term Loans,B,2025-06-10,HIGH,5,YES,ACUITE,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Capital Power Infrastructure Pvt. Ltd.,NBFC,BRICKWORK,Bank Guarantee,A 4,2025-06-02,HIGH,5,YES,BRICKWORK,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Finvent Finance & Invts. Ltd.,NBFC,CRISIL,Long term Loans,B-,2025-06-10,HIGH,5,YES,CRISIL,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
J M J Finance Ltd.,NBFC,CRISIL,Long term Loans,B+,2025-05-19,HIGH,5,YES,CRISIL,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Margdarshak Financial Services Ltd.,NBFC,BRICKWORK,Term loans,D,2025-05-27,HIGH,5,YES,BRICKWORK,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Adhikar Microfinance Private Limited,MFI,Infomerics,Long Term Bank Facilities- Term Loan,IVR D (INC)(Reaffirmed),2025-04-01,HIGH,5,YES,Infomerics,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments. Demonstrate governance credibility to lenders"
ICL Fincorp Limited,NBFC,Infomerics,Non-Convertible Debentures,IVR BB (INC) (Reaffirmed),2025-03-21,HIGH,5,YES,Infomerics,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
IFL Housing Finance Limited,HFC,Infomerics,Long-Term Bank Facilities,IVR BB (INC) (Downgraded),2024-12-09,HIGH,5,YES,Infomerics,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),[INC] NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE. Rating lapse risks your borrowing capacity
Navachetana Microfinance Services Private Limited,MFI,Infomerics,Long Term Bank Facilities - Term Loans,IVR D (INC)(Downgraded),2025-06-04,HIGH,5,YES,Infomerics,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments. Demonstrate governance credibility to lenders"
RBA Finance Private Limited,NBFC,Infomerics,Long Term Fund Based Facilities - Cash Credit,"IVR BB+ (Upgraded, removed from INC category and simultaneously Withdrawn)",2024-03-07,HIGH,5,YES,Infomerics,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Sai Point Finance Corporation Limited,NBFC,Infomerics,Long Term Fund Based Limits - Cash Credit,IVR BB (INC)(Withdrawn),2021-11-25,HIGH,5,YES,Infomerics,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Subhlakshmi Finance Private Limited,NBFC,Infomerics,Long Term Facilities,IVR BB+ (INC)(Downgraded),2025-05-21,HIGH,5,YES,Infomerics,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Swift Financial Results Limited,NBFC,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-03-26,HIGH,5,YES,Infomerics,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Money2Me Finance Pvt. Ltd.,NBFC,IND-RA,Term loans,BB+,2025-05-19,HIGH,4,NO,IND-RA | Infomerics,2,Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Tata Motors Finance Ltd. [Merged],NBFC,CARE,Debentures / Bonds / notes / bills,AA-,2025-05-28,HIGH,4,NO,CARE | CRISIL | ICRA,3,Rating overdue (>12 months) | Multi-agency (3 raters) — open to new entrant,[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
360 One Capital Market Pvt. Ltd.,NBFC,CRISIL,Bank Guarantee,A 1+,2025-06-05,HIGH,3,NO,CRISIL,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Orange Retail Finance India Pvt. Ltd.,NBFC,CRISIL,Long term Loans,BBB-,2025-05-22,HIGH,3,NO,CRISIL,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Payu Finance India Pvt. Ltd.,NBFC,CRISIL,Long term Loans,A+,2025-05-09,HIGH,3,NO,CRISIL,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Rajasthan State Power Finance & Financial Services Corpn. Ltd.,NBFC,ACUITE,Long term Loans,A-,2025-05-15,HIGH,3,NO,ACUITE,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Srinidhi Credit Pvt. Ltd.,NBFC,ACUITE,Long term Loans,BBB-,2025-06-05,HIGH,3,NO,ACUITE,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
U C Inclusive Credit Pvt. Ltd.,NBFC,ICRA,Short-term loan,A 2,2025-05-19,HIGH,3,NO,ICRA,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Valgaa Financial Services Ltd.,NBFC,CRISIL,Long term Loans,BB+,2025-05-12,HIGH,3,NO,CRISIL,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
ACAIPL Investment and Financial Services Private Limited,NBFC,Infomerics,Long Term Bank Facilities,IVR BBB (Assigned),2024-11-22,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
