Company Name,Edu_Type,Latest Rater,Latest Instrument,Latest Rating,Rating Date,Urgency,Priority Score,INC Flag,All Raters,Rater Count,Why Target,ACER_Pitch_Education
Genesis Institute Of Medical Science Pvt. Ltd.,Medical/Pharma College,BRICKWORK,Letter Of credit,A 4,2025-10-16,MEDIUM,5,YES,BRICKWORK | Infomerics,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),[INC] Current rater unresponsive — Healthcare education institutions increasingly need rated instruments for hospital expansion financing. ACER offers named analyst contact
Balajee Education Pvt. Ltd.,General Education/Institute,CRISIL,Long term Loans,B,2025-07-11,MEDIUM,4,YES,CRISIL,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),[INC] Current rater unresponsive — Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts. ACER offers named analyst contact
Infertility Institute & Research Centre Pvt. Ltd.,General Education/Institute,CARE,Term loans,B-,2025-10-13,MEDIUM,4,YES,CARE,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),[INC] Current rater unresponsive — Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts. ACER offers named analyst contact
Institute Of Gastro & Kidney Care Pvt. Ltd.,General Education/Institute,CRISIL,Long term Loans,B+,2025-09-18,MEDIUM,4,YES,CRISIL,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),[INC] Current rater unresponsive — Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts. ACER offers named analyst contact
Shri Sankalp Medical & Research Institute Pvt. Ltd.,Medical/Pharma College,IND-RA,Term loans,B,2025-07-18,MEDIUM,4,YES,IND-RA,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),[INC] Current rater unresponsive — Healthcare education institutions increasingly need rated instruments for hospital expansion financing. ACER offers named analyst contact
Sunrise Institute Of Medical Sciences Pvt. Ltd.,Medical/Pharma College,CARE,Term loans,BB,2025-09-23,MEDIUM,4,YES,CARE,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),[INC] Current rater unresponsive — Healthcare education institutions increasingly need rated instruments for hospital expansion financing. ACER offers named analyst contact
Suyash Institute Of Medical Science Pvt. Ltd.,Medical/Pharma College,CRISIL,Term loans,B+,2025-11-10,MEDIUM,4,YES,CRISIL,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),[INC] Current rater unresponsive — Healthcare education institutions increasingly need rated instruments for hospital expansion financing. ACER offers named analyst contact
Vidharbha Institute Of Medical Sciences Pvt. Ltd.,Medical/Pharma College,CARE,Term loans,B-,2025-12-08,MEDIUM,4,YES,CARE,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),[INC] Current rater unresponsive — Healthcare education institutions increasingly need rated instruments for hospital expansion financing. ACER offers named analyst contact
Raman Education Society,General Education/Institute,Infomerics,Long Term Bank Facilities,IVR B- (INC)(Downgraded),2025-09-24,MEDIUM,4,YES,Infomerics,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),[INC] Current rater unresponsive — Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts. ACER offers named analyst contact
Shri Astha Foundation for Education Society,General Education/Institute,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-08-12,MEDIUM,4,YES,Infomerics,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),[INC] Current rater unresponsive — Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts. ACER offers named analyst contact
Alliance Business School,School/Coaching,IND-RA,Term loans,BBB,2025-08-08,MEDIUM,2,NO,IND-RA,1,Approaching renewal (6-12 months),Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Asian Institute Of Gastroenterology Pvt. Ltd.,General Education/Institute,CRISIL,Long term Loans,AA-,2025-10-14,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Asian Institute Of Oncology Pvt. Ltd.,General Education/Institute,ICRA,Term loans,B+,2025-10-30,MEDIUM,2,NO,ICRA,1,Approaching renewal (6-12 months),Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
C A E Simulation Training Pvt. Ltd.,General Education/Institute,ICRA,Term loans,A,2025-08-13,MEDIUM,2,NO,ICRA,1,Approaching renewal (6-12 months),Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Dr. K M Cherian Institute Of Medical Sciences Pvt. Ltd.,Medical/Pharma College,CARE,Term loans,BBB-,2025-06-25,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),Healthcare education institutions increasingly need rated instruments for hospital expansion financing
Enlearn Education Pvt. Ltd.,General Education/Institute,CRISIL,Term loans,A+,2025-09-30,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Escorts Heart Institute & Research Centre Ltd.,General Education/Institute,CRISIL,Term loans,AA+,2025-09-01,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Higher Education Financing Agency,General Education/Institute,ICRA,Term loans,AA+,2025-08-14,MEDIUM,2,NO,ICRA,1,Approaching renewal (6-12 months),Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Iconkrishi Institute Of Medical Sciences Pvt. Ltd.,Medical/Pharma College,ICRA,Term loans,A-,2025-08-28,MEDIUM,2,NO,ICRA,1,Approaching renewal (6-12 months),Healthcare education institutions increasingly need rated instruments for hospital expansion financing
Learnet Skills Ltd.,General Education/Institute,CRISIL,Bank Guarantee,A 3,2025-10-03,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Lighthouse Learning Pvt. Ltd.,General Education/Institute,CRISIL,Term loans,A+,2025-09-30,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Malabar Institute Of Medical Sciences Ltd.,Medical/Pharma College,CARE,Term loans,A+,2025-12-11,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),Healthcare education institutions increasingly need rated instruments for hospital expansion financing
SIBIN Learning Cart Private Limited,General Education/Institute,Infomerics,Long Term Bank Facilities,IVR BBB (Upgraded),2025-09-26,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Vidyanidhi Education Trust,General Education/Institute,Infomerics,Long Term Facilities,IVR BB+ (Reaffirmed),2025-12-11,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Chetana Education Ltd.,General Education/Institute,ICRA,Non-government debt,BB+/A4+,2026-01-19,LOW,4,YES,CARE | ICRA,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,[INC] Current rater unresponsive — Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts. ACER offers named analyst contact
I C A Edu Skills Pvt. Ltd.,General Education/Institute,ACUITE,Bank Guarantee,A 4,2026-04-16,LOW,4,YES,ACUITE | IND-RA,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,[INC] Current rater unresponsive — Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts. ACER offers named analyst contact
Parco Institute Of Medical Sciences Pvt. Ltd.,Medical/Pharma College,BRICKWORK,Term loans,D,2026-02-13,LOW,4,YES,BRICKWORK | CARE,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,[INC] Current rater unresponsive — Healthcare education institutions increasingly need rated instruments for hospital expansion financing. ACER offers named analyst contact
Tezpur Institute Of Medical Sciences Pvt. Ltd.,Medical/Pharma College,CARE,Non-government debt,D,2026-02-12,LOW,4,YES,BRICKWORK | CARE,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,[INC] Current rater unresponsive — Healthcare education institutions increasingly need rated instruments for hospital expansion financing. ACER offers named analyst contact
United Ciigma Institute Of Medical Sciences Pvt. Ltd.,Medical/Pharma College,CRISIL,Long term Loans,AA-,2026-02-13,LOW,4,YES,BRICKWORK | CRISIL | Infomerics,3,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant,[INC] Current rater unresponsive — Healthcare education institutions increasingly need rated instruments for hospital expansion financing. ACER offers named analyst contact
Hero Mindmine Institute Pvt. Ltd.,General Education/Institute,ICRA,Non-fund-based financial facility/instrument,A 4,2026-01-27,LOW,3,YES,ICRA,1,INC — issuer not cooperating with current rater,[INC] Current rater unresponsive — Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts. ACER offers named analyst contact
Narayanadri Hospitals & Research Institute Pvt. Ltd.,General Education/Institute,IND-RA,Non-government debt,B-/A4,2026-04-02,LOW,3,YES,IND-RA,1,INC — issuer not cooperating with current rater,[INC] Current rater unresponsive — Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts. ACER offers named analyst contact
IIT-ians Pace Education Private Limited,General Education/Institute,Infomerics,Long Term Bank Facilities - Term Loan,IVR B+ (INC)(Downgraded),2025-12-18,LOW,3,YES,Infomerics,1,INC — issuer not cooperating with current rater,[INC] Current rater unresponsive — Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts. ACER offers named analyst contact
Krishna Institute Of Medical Sciences Ltd.,Medical/Pharma College,CARE,Non-government debt,AA/A1+,2026-01-12,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,Healthcare education institutions increasingly need rated instruments for hospital expansion financing
Navneet Education Ltd.,General Education/Institute,CARE,Non-government debt,AA/A1+,2026-01-30,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
