Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,INC,Sector,Why Target,ACER Pitch Angle
Victora Automotive Private Limited (Erstwhile Victora Automotive Inc),Long Term Bank Facilities,Infomerics,IVR A- (Upgraded & Withdrawn),"December 27, 2023",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Victora Automotive Private Limited (Erstwhile Victora Automotive Inc),Short Term Bank Facilities,Infomerics,IVR A2+ (Upgraded & Withdrawn),"December 27, 2023",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Victora Auto Private Limited,Long Term Bank Facilities,Infomerics,IVR A- (Upgraded & Withdrawn),"December 27, 2023",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Victora Auto Private Limited,Short Term Bank Facilities,Infomerics,IVR A2+ (Upgraded & Withdrawn),"December 27, 2023",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Electrosteel Castings Limited,Outstanding Non-Convertible Debentures (NCD) - Series VI,Infomerics,IVR A (Withdrawn),"May 29, 2019",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Counto Automobiles Private Limited (CAPL),Fund Based Facilities,Infomerics,IVR B+ (Reaffirmed and withdrawn),"December 17, 2018",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Counto Automobiles Private Limited (CAPL),Long Term Debt- Term Loan,Infomerics,IVR B+ (Reaffirmed and withdrawn),"December 17, 2018",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Anvil Electricals Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed and Withdrawn),"May 15, 2023",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Anvil Electricals Private Limited,Short Term Bank Facilities,Infomerics,IVR A3 (Reaffirmed and Withdrawn),"May 15, 2023",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Anvil Electricals Private Limited,Long Term/Short Term Bank Facilities,Infomerics,IVR BBB-/IVR A3; (Reaffirmed and Withdrawn),"May 15, 2023",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
