Company Name,Agency,Instrument Type,Instrument_Family,Fee_Avg_Lakhs,Fee_Low_Lakhs,Fee_High_Lakhs,Rating,Rating Date,Amount Cr,Sector,Pipeline_Window,Current Urgency,Call_Window,NCD_Flag,Why Target,ACER Pitch Angle
New Modern Technomech Pvt. Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4+,08-Jan-2026,45.0,IT/Technology,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
New Modern Technomech Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,BB+,08-Jan-2026,10.0,IT/Technology,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
New Modern Technomech Pvt. Ltd.,CRISIL,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4+,08-Jan-2026,5.0,IT/Technology,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Sree Astalaxmi Spinning Mills Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,B-,08-Apr-2026,1.84,Textiles,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Universal Seaport Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,B,10-Apr-2026,6.4,Logistics,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Universal Seaport Pvt. Ltd.,CARE,Fund-Based,Fund-Based Facilities,5.0,3.0,7.0,B,10-Apr-2026,1.1,Logistics,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Khedut Solvexp Pvt. Ltd.,IND-RA,NCD/Bond,NCD / Bond,20.0,15.0,25.0,B/A4,16-Jan-2026,75.0,Other,October 2026,LOW,Oct Wk2 (Oct 8-14),NCD — SEBI License Required,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
New Modern Technomech Pvt. Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,16-Apr-2026,50.0,IT/Technology,October 2026,LOW,Oct Wk2 (Oct 8-14),Standard,INC rating hits MEDIUM threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Dee Vee Projects Ltd.,IND-RA,Term Loan,Term Loan,5.0,3.0,7.0,B,16-Jan-2026,26.6,Construction,October 2026,LOW,Oct Wk2 (Oct 8-14),Standard,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Sree Astalaxmi Spinning Mills Pvt. Ltd.,BRICKWORK,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,13-Oct-2025,1.0,Textiles,October 2026,MEDIUM,Oct Wk2 (Oct 8-14),Standard,INC rating hits ULTRA HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
New Modern Technomech Pvt. Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,C/A4,21-Apr-2026,45.0,IT/Technology,October 2026,LOW,Oct Wk3 (Oct 15-21),NCD — SEBI License Required,INC rating hits MEDIUM threshold on 2026-10-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
New Modern Technomech Pvt. Ltd.,CARE,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,21-Apr-2026,5.0,IT/Technology,October 2026,LOW,Oct Wk3 (Oct 15-21),Standard,INC rating hits MEDIUM threshold on 2026-10-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
New Modern Technomech Pvt. Ltd.,CARE,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,21-Apr-2026,2.8,IT/Technology,October 2026,LOW,Oct Wk3 (Oct 15-21),Standard,INC rating hits MEDIUM threshold on 2026-10-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
New Modern Technomech Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,C,21-Apr-2026,1.03,IT/Technology,October 2026,LOW,Oct Wk3 (Oct 15-21),Standard,INC rating hits MEDIUM threshold on 2026-10-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Universal Seaport Pvt. Ltd.,BRICKWORK,Term Loan,Term Loan,5.0,3.0,7.0,C,23-Oct-2025,19.72,Logistics,October 2026,MEDIUM,Oct Wk4 (Oct 22-31),Standard,INC rating hits ULTRA HOT threshold on 2026-10-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Telawne Power Equipments Pvt. Ltd.,IND-RA,NCD/Bond,NCD / Bond,20.0,15.0,25.0,B/A4,28-Apr-2026,28.0,Manufacturing,October 2026,LOW,Oct Wk4 (Oct 22-31),NCD — SEBI License Required,INC rating hits MEDIUM threshold on 2026-10-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Telawne Power Equipments Pvt. Ltd.,ICRA,Non-Fund-Based,Non-Fund-Based,3.0,2.0,4.0,A 4,28-Oct-2025,6.0,Manufacturing,October 2026,MEDIUM,Oct Wk4 (Oct 22-31),Standard,INC rating hits ULTRA HOT threshold on 2026-10-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Telawne Power Equipments Pvt. Ltd.,ICRA,NCD/Bond,NCD / Bond,20.0,15.0,25.0,B+/A4,28-Oct-2025,2.3,Manufacturing,October 2026,MEDIUM,Oct Wk4 (Oct 22-31),NCD — SEBI License Required,INC rating hits ULTRA HOT threshold on 2026-10-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Telawne Power Equipments Pvt. Ltd.,ICRA,Term Loan,Term Loan,5.0,3.0,7.0,B+,28-Oct-2025,0.2,Manufacturing,October 2026,MEDIUM,Oct Wk4 (Oct 22-31),Standard,INC rating hits ULTRA HOT threshold on 2026-10-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Universal Seaport Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B,30-Oct-2025,20.0,Logistics,October 2026,MEDIUM,Oct Wk4 (Oct 22-31),Standard,INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Khedut Solvexp Pvt. Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,B+/A4,03-Feb-2026,45.0,Other,October 2026,LOW,Oct Wk4 (Oct 22-31),NCD — SEBI License Required,INC rating hits HOT threshold on 2026-10-31 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Khedut Solvexp Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,B+,03-Feb-2026,3.43,Other,October 2026,LOW,Oct Wk4 (Oct 22-31),Standard,INC rating hits HOT threshold on 2026-10-31 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Khedut Solvexp Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,BB+,10-Feb-2026,1.6,Other,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Dee Vee Projects Ltd.,ACUITE,Term Loan,Term Loan,5.0,3.0,7.0,BB-,11-Feb-2026,444.73,Construction,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Dee Vee Projects Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4+,11-Feb-2026,199.87,Construction,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Dee Vee Projects Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4+,11-Feb-2026,45.0,Construction,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Dee Vee Projects Ltd.,ACUITE,Term Loan,Term Loan,5.0,3.0,7.0,BB-,11-Feb-2026,38.4,Construction,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Telawne Power Equipments Pvt. Ltd.,CRISIL,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,18-Feb-2026,29.0,Manufacturing,October 2026,LOW,Nov Wk3 (Nov 15-21),Standard,INC rating hits HOT threshold on 2026-11-15 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Dee Vee Projects Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,BB-/A4,19-Feb-2026,170.0,Construction,October 2026,LOW,Nov Wk3 (Nov 15-21),NCD — SEBI License Required,INC rating hits HOT threshold on 2026-11-16 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
