Blitz Rank,Company Name,Sector,Instrument,Current Rater,Rating,Rating Date,Urgency,INC Flag,Priority Score,Why Target,ACER Pitch Angle,Tier
1,Puran Chand Rice Mills Pvt. Ltd.,AgroFood,Non-fund-based financial facility/instrument,CRISIL,A 3+,2025-06-05,HIGH,YES,6,INC — rater relationship broken | Rating overdue (>12 months) | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
2,Universal Infra & Agri Oils Pvt. Ltd.,AgroFood,Fund based financial facility/instrument,CARE,B+,2025-06-13,HIGH,YES,6,INC — rater relationship broken | Rating overdue (>12 months) | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
3,Greenvision Technologies Pvt. Ltd.,IT/Software,Letter Of credit,BRICKWORK,A 4,2025-05-26,HIGH,YES,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days",ULTRA HOT
4,Ashoka Distillers & Chemicals Pvt. Ltd.,ChemicalsPharma,Non-government debt,ICRA,B+/A4,2025-05-28,HIGH,YES,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,ULTRA HOT
5,Auro Impex & Chemicals Limited,ChemicalsPharma,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-06-12,HIGH,YES,6,INC — issuer not cooperating with Infomerics,INC at Infomerics — ACER provides fresh start with faster turnaround,ULTRA HOT
6,Hindusthan Speciality Chemicals Limited,ChemicalsPharma,Short Term Non-Fund Based Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-02-03,HIGH,YES,6,INC — issuer not cooperating with Infomerics,INC at Infomerics — ACER provides fresh start with faster turnaround,ULTRA HOT
7,Nayati Medical Private Limited (Formerly known as Nayati Pharma Private Limited),ChemicalsPharma,Long Term Bank Facilities,Infomerics,IVR C- (INC)(Downgraded),2025-02-17,HIGH,YES,6,INC — issuer not cooperating with Infomerics,INC at Infomerics — ACER provides fresh start with faster turnaround,ULTRA HOT
8,Nikhil Adhesives Limited,ChemicalsPharma,Long Term/ Short Term Bank Facilities,Infomerics,IVR B/IVR A4; (INC)(Downgraded/Reaffirmed),2025-06-17,HIGH,YES,6,INC — issuer not cooperating with Infomerics,INC at Infomerics — ACER provides fresh start with faster turnaround,ULTRA HOT
9,Omkar Speciality Chemicals Ltd.,ChemicalsPharma,Letter Of credit,CRISIL,D,2025-05-30,HIGH,YES,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,ULTRA HOT
10,Sigma Chemtrade Pvt. Ltd.,ChemicalsPharma,Bank Guarantee,CRISIL,A 4+,2025-06-05,HIGH,YES,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,ULTRA HOT
