Company Name,Latest Instrument,Latest Rater,Latest Rating,Rating Date,Urgency,Sector,INC Flag,All Raters,Rater Count,All Instruments,Latest Status,Data Source,Priority Score,Why Target,ACER Pitch Angle
Abhilasha Jewellers Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,2025-06-11,HIGH,Jewellery/Gems,YES,ACUITE,1,Bank Guarantee,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Arjav Diamonds (India) Pvt. Ltd.,Long term Loans,ACUITE,C,2025-06-10,HIGH,Jewellery/Gems,YES,ACUITE,1,Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Blue Star Diamonds Pvt. Ltd.,Long term Loans,ACUITE,C,2025-06-10,HIGH,Jewellery/Gems,YES,ACUITE,1,Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Ciemme Jewels Ltd.,Non-fund-based financial facility/instrument,ICRA,D,2025-05-14,HIGH,Jewellery/Gems,YES,ICRA,1,Non-fund-based financial facility/instrument | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Nikkamal Jewels Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2025-05-21,HIGH,Jewellery/Gems,YES,BRICKWORK,1,Non-government debt,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
P & S Jewellery Ltd.,Fund based financial facility/instrument,BRICKWORK,D,2025-05-06,HIGH,Jewellery/Gems,YES,BRICKWORK,1,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Rishabh Gold Jewels (India) Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-05-09,HIGH,Jewellery/Gems,YES,ICRA,1,Non-government debt,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Khandelwal Jewellers (Akola) Pvt Ltd,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-06,HIGH,Jewellery/Gems,YES,Infomerics,1,Long Term Bank Facilities | Long/Short Term Bank Facilities | Proposed Bank Facilities - Long Term/Short Term,,Infomerics,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Laxmi Dia Jewels Private Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-01-02,HIGH,Jewellery/Gems,YES,Infomerics,1,Long Term Bank Facilities,,Infomerics,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Musaddilal Jewellers Private Limited,Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-05-09,HIGH,Jewellery/Gems,YES,Infomerics,1,Long Term Bank Facilities,,Infomerics,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Black Diamond Equipments Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-05-30,HIGH,Jewellery/Gems,NO,CRISIL,1,Bank Guarantee | Fund based financial facility/instrument,Initial Rating,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Divya Jewellers Pvt. Ltd.,Letter Of credit,CRISIL,A 2+,2025-05-29,HIGH,Jewellery/Gems,NO,CRISIL,1,Letter Of credit,Reaffirmed,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Palak Jewellers Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BBB+,2025-06-04,HIGH,Jewellery/Gems,NO,CRISIL,1,Fund based financial facility/instrument,Reaffirmed,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
R S Brothers Jewellers Pvt. Ltd.,Long term Loans,CRISIL,A+,2025-05-21,HIGH,Jewellery/Gems,NO,CRISIL,1,Long term Loans | Term loans,Reaffirmed,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Thangamayil Jewellery Ltd.,Non-government debt,ICRA,A+/A1,2025-06-10,HIGH,Jewellery/Gems,NO,ICRA,1,Non-government debt,Upgraded,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Blue Star Diamonds Private Limited (BSDPL),Long Term/Short Term Bank Facilities - EPC/PCFC/ PSC/PSCFC,Infomerics,Withdrawn,2023-03-20,HIGH,Jewellery/Gems,NO,Infomerics,1,Long Term/Short Term Bank Facilities - EPC/PCFC/ PSC/PSCFC,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Chheda Jewellers Private Limited,Long Term Fund-Based Facilities,Infomerics,IVR BBB- (Assigned),2025-01-07,HIGH,Jewellery/Gems,NO,Infomerics,1,Long Term Fund-Based Facilities | Long Term/ Short Term Fund-Based Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Davanam Jewellers Private Limited,Long Term Fund Based Facility,Infomerics,Withdrawn,2024-09-13,HIGH,Jewellery/Gems,NO,Infomerics,1,Long Term Fund Based Facility,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Diamond Footcare Udyog Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB (Upgraded),2025-03-25,HIGH,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities | Short Term Bank Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
G Rajam Chetty and Sons Jewellers LLP,Long Term Bank Facilities,Infomerics,IVR BBB (Upgraded),2024-11-29,HIGH,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities | Long Term Bank Facilities (proposed) | Short Term Bank Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Golkunda Diamonds and Jewellery Limited,Long Term Bank Facilities,Infomerics,IVR BBB-,2025-03-19,HIGH,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities | Short Term Bank Facility,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Jewelima Diamonds Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (Assigned),2024-12-03,HIGH,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Lala Kashinath Seth Jewellers Private Limited,Long Term Facilities,Infomerics,IVR BBB- (Reaffirmed & Withdrawn),2024-12-17,HIGH,Jewellery/Gems,NO,Infomerics,1,Long Term Facilities | Long Term Facilities - Term Loan (GECL 1),,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Livingstones Jewellery Private Limited,Long Term Facilities,Infomerics,IVR BB (Assigned),2025-05-29,HIGH,Jewellery/Gems,NO,Infomerics,1,Long Term Facilities | Short Term Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Padmavati Chains and Jewels Private Limited,Long Term Bank Facilities - CC,Infomerics,IVR BBB- (Reaffirmed),2025-02-20,HIGH,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities - CC | Long Term Bank Facilities - Term loan (GECL),,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Sitaram Gems,Short Term Facilities,Infomerics,Withdrawn,2025-06-06,HIGH,Jewellery/Gems,NO,Infomerics,1,Short Term Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Emaar Diamonds Pvt. Ltd.,Long term Loans,CRISIL,BB-,2025-10-24,MEDIUM,Jewellery/Gems,YES,CRISIL | Infomerics,2,Long term Loans,Withdrawn,Both,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
