Company Name,All Raters,Rater Count,Latest Rater,All Instruments,Latest Instrument,Latest Rating,Latest Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle
Ireo Hospitality Co. Pvt. Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument,D,Reaffirmed,2025-05-14,HIGH,5,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Adwalpalkar Construction and Resort Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),,2025-04-15,HIGH,5,YES,Hotels/Tourism,Infomerics,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Hotel Tara Palace,Infomerics,1,Infomerics,Long Term Bank Facilities,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),,2025-03-31,HIGH,5,YES,Hotels/Tourism,Infomerics,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Eros Grand Resorts & Hotels Pvt. Ltd.,CARE,1,CARE,Bank Guarantee | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-06-10,HIGH,5,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Aara Jungle Resortes Private Limited,Infomerics,1,Infomerics,Long Term Facility - Fund Based - Cash Credit | Long Term Facility - Fund Based - Proposed Term Loan | Long Term Facility - Fund Based - Term Loan,Long Term Facility - Fund Based - Term Loan,IVR BB (INC) (Downgraded),,2025-03-24,HIGH,5,YES,Hotels/Tourism,Infomerics,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Aria Hotels and Consultancy Services Private Limited,Infomerics,1,Infomerics,Cash Credit | Funded Interest Term Loan | Long Term Bank Facilities,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),,2025-03-28,HIGH,5,YES,Hotels/Tourism,Infomerics,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
JAM Hotels and Resorts Private Limited,Infomerics,1,Infomerics,Long term Bank Facilities - Proposed,Long term Bank Facilities - Proposed,IVR BB (INC)(Reaffirmed & Withdrawn),,2021-10-28,HIGH,5,YES,Hotels/Tourism,Infomerics,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Luxus Hospitality Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,BB-,Reaffirmed,2025-05-07,HIGH,3,NO,Hotels/Tourism,D365,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Travel News Services (India) Pvt. Ltd.,ACUITE,1,ACUITE,Bank Guarantee,Bank Guarantee,BB-,Withdrawn,2025-05-19,HIGH,3,NO,Hotels/Tourism,D365,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
ATHOME HOSPITALITY SERVICES PRIVATE LIMITED (AHSPL),Infomerics,1,Infomerics,Long Term Facilities,Long Term Facilities,IVR BBB- (Assigned),,2025-03-12,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Ambience Hotel & Resorts Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities,Long Term Bank Facilities,IVR BBB (Upgraded),,2025-01-30,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Jubliant Hospitality Services Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,Long Term Bank Facilities,IVR BBB+ (Assigned),,2025-03-27,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Onepoint Grand Hospitality Private Limited,Infomerics,1,Infomerics,Long Term Facilities,Long Term Facilities,IVR BB+ (Assigned),,2025-01-02,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Wave Hospitality Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,Long Term Bank Facilities,IVR BBB (Upgraded),,2025-06-02,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Boutique Hotels India Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,BBB,Initial Rating,2025-05-20,HIGH,3,NO,Hotels/Tourism,D365,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. IND-RA
Exemplary Hotels Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,BB-,Reaffirmed,2025-05-08,HIGH,3,NO,Hotels/Tourism,D365,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. IND-RA
Interglobe Hotels Pvt. Ltd.,ICRA,1,ICRA,Fund based financial facility/instrument | Non-government debt | Term loans,Non-government debt,A/A2+,Reaffirmed,2025-05-20,HIGH,3,NO,Hotels/Tourism,D365,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. ICRA
Triton Hotels & Resorts Pvt. Ltd.,ICRA,1,ICRA,Bank Guarantee | Term loans,Bank Guarantee,A,Reaffirmed,2025-05-29,HIGH,3,NO,Hotels/Tourism,D365,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. ICRA
A.R.V. Hotels Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities,Long Term Bank Facilities,IVR BB (Upgraded),,2024-12-17,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. Infomerics
AKM Hotels Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities,Long Term Bank Facilities,IVR BBB- (Reaffirmed),,2025-06-06,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. Infomerics
Deepak Hotels Infra Private Limited,Infomerics,1,Infomerics,Long Term Facilities,Long Term Facilities,IVR BBB- (CE)(Reaffirmed),,2025-02-19,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. Infomerics
Elysian Hotels Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities,Long Term Bank Facilities,IVR BB (Reaffirmed),,2025-03-26,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. Infomerics
Flags Hotels Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities | Proposed Long Term Bank Facilities,Long Term Bank Facilities,IVR BB- (Reaffirmed),,2025-01-21,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. Infomerics
Grand Luxe Hotels Limited,Infomerics,1,Infomerics,Long Term Bank Facilities,Long Term Bank Facilities,IVR A- (CE)(Withdrawn),,2025-04-16,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. Infomerics
JMJ Beach Resorts Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities - Proposed,Long Term Bank Facilities - Proposed,IVR BBB- (Assigned),,2025-01-28,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. Infomerics
